ID,C1,C2,C3,C4,C5
65.0,0.04,0.25,0.505,0.15,0.05500000000000001
66.0,0.005,0.69,0.15000000000000002,0.095,0.06
67.0,0.005,0.045,0.885,0.025,0.04
68.0,0.0,0.18,0.69,0.105,0.025
69.0,0.015,0.195,0.305,0.175,0.31
70.0,0.025,0.215,0.38,0.24,0.14
71.0,0.035,0.21500000000000002,0.15000000000000002,0.5449999999999999,0.055
72.0,0.025,0.04,0.21000000000000002,0.485,0.24
73.0,0.025,0.11000000000000001,0.7649999999999999,0.06,0.04
74.0,0.0,0.045,0.595,0.265,0.095
75.0,0.5,0.14,0.125,0.095,0.14
76.0,0.030000000000000002,0.7749999999999999,0.13,0.055,0.01
77.0,0.01,0.025,0.025,0.33999999999999997,0.6
78.0,0.005,0.03,0.05,0.12000000000000001,0.7949999999999999
79.0,0.325,0.5900000000000001,0.035,0.025,0.025
80.0,0.355,0.07,0.155,0.22,0.2
81.0,0.155,0.26,0.085,0.385,0.11499999999999999
82.0,0.05,0.015,0.10500000000000001,0.75,0.08
83.0,0.035,0.075,0.305,0.33499999999999996,0.25
84.0,0.030000000000000002,0.025,0.085,0.6799999999999999,0.18
85.0,0.4,0.065,0.065,0.43,0.04
86.0,0.245,0.14500000000000002,0.37,0.10500000000000001,0.135
87.0,0.845,0.075,0.02,0.045,0.015
88.0,0.05,0.615,0.28500000000000003,0.03,0.02
89.0,0.03,0.055,0.015,0.060000000000000005,0.84
90.0,0.045,0.25,0.035,0.325,0.345
91.0,0.01,0.01,0.25,0.62,0.11000000000000001
92.0,0.005,0.01,0.16,0.525,0.3
93.0,0.25,0.15000000000000002,0.245,0.34,0.015
94.0,0.22000000000000003,0.14,0.30000000000000004,0.33999999999999997,0.0
95.0,0.155,0.41,0.12000000000000001,0.28500000000000003,0.03
96.0,0.02,0.09,0.1,0.765,0.025
97.0,0.69,0.135,0.09000000000000001,0.045,0.04
98.0,0.034999999999999996,0.94,0.01,0.01,0.005
99.0,0.035,0.605,0.15000000000000002,0.21000000000000002,0.0
100.0,0.16,0.78,0.05500000000000001,0.005,0.0
101.0,0.16,0.775,0.055,0.005,0.005
102.0,0.2,0.715,0.065,0.015,0.005
103.0,0.645,0.22,0.125,0.01,0.0
104.0,0.5700000000000001,0.38,0.02,0.01,0.02
105.0,0.0,0.78,0.21500000000000002,0.005,0.0
106.0,0.0,0.32,0.59,0.09,0.0
107.0,0.0,0.305,0.645,0.045,0.005
108.0,0.01,0.35,0.585,0.045000000000000005,0.01
109.0,0.01,0.725,0.165,0.08,0.02
110.0,0.0,0.21000000000000002,0.335,0.45,0.005
111.0,0.01,0.41000000000000003,0.3,0.16999999999999998,0.11
112.0,0.025,0.625,0.185,0.13,0.035
113.0,0.03,0.76,0.15,0.035,0.025
114.0,0.03,0.8049999999999999,0.03,0.07,0.065
115.0,0.025,0.42000000000000004,0.125,0.35,0.08
116.0,0.0,0.47,0.185,0.22999999999999998,0.115
117.0,0.015,0.15,0.645,0.065,0.125
118.0,0.0,0.02,0.5349999999999999,0.2,0.245
119.0,0.015,0.14,0.695,0.08499999999999999,0.065
120.0,0.0,0.01,0.01,0.025,0.955
121.0,0.0,0.045,0.085,0.36,0.51
122.0,0.01,0.07,0.15000000000000002,0.51,0.26
123.0,0.015,0.04,0.15,0.605,0.19
124.0,0.02,0.06,0.25,0.5549999999999999,0.11499999999999999
125.0,0.02,0.105,0.25,0.625,0.0
126.0,0.05,0.255,0.3,0.36,0.035
127.0,0.045,0.44,0.195,0.21500000000000002,0.10500000000000001
128.0,0.38,0.385,0.21000000000000002,0.025,0.0
129.0,0.85,0.08499999999999999,0.045,0.015,0.005
130.0,0.005,0.155,0.345,0.07,0.425
131.0,0.07500000000000001,0.49,0.235,0.07500000000000001,0.125
132.0,0.01,0.14500000000000002,0.715,0.1,0.030000000000000002
133.0,0.025,0.47000000000000003,0.48,0.015,0.01
134.0,0.0,0.05,0.865,0.075,0.01
135.0,0.030000000000000002,0.045,0.6799999999999999,0.22,0.025
136.0,0.01,0.095,0.485,0.395,0.015
137.0,0.01,0.02,0.28,0.6799999999999999,0.01
138.0,0.01,0.04,0.41500000000000004,0.53,0.005
139.0,0.035,0.505,0.33499999999999996,0.09,0.035
140.0,0.03,0.9,0.055,0.005,0.01
141.0,0.005,0.21000000000000002,0.765,0.015,0.005
142.0,0.05,0.30500000000000005,0.13,0.08,0.435
143.0,0.03,0.12000000000000001,0.11,0.04,0.7
144.0,0.02,0.049999999999999996,0.07,0.175,0.685
145.0,0.005,0.03,0.96,0.005,0.0
146.0,0.055,0.185,0.355,0.38,0.025
147.0,0.16,0.7,0.055,0.065,0.02
148.0,0.02,0.08,0.87,0.025,0.005
149.0,0.415,0.395,0.16,0.02,0.01
150.0,0.005,0.5800000000000001,0.295,0.095,0.025
151.0,0.005,0.34,0.645,0.005,0.005
152.0,0.0,0.6699999999999999,0.305,0.02,0.005
153.0,0.034999999999999996,0.75,0.2,0.01,0.005
154.0,0.02,0.825,0.115,0.015,0.025
155.0,0.16999999999999998,0.655,0.135,0.035,0.005
156.0,0.06,0.72,0.14,0.08,0.0
157.0,0.06,0.255,0.5900000000000001,0.055,0.04
158.0,0.034999999999999996,0.35,0.27,0.32,0.025
159.0,0.015,0.095,0.71,0.14500000000000002,0.034999999999999996
160.0,0.005,0.59,0.38,0.015,0.01
161.0,0.02,0.69,0.215,0.02,0.055
162.0,0.005,0.09,0.13,0.29,0.485
163.0,0.060000000000000005,0.405,0.31,0.15,0.07500000000000001
164.0,0.21000000000000002,0.35,0.19,0.195,0.055
165.0,0.025,0.125,0.15,0.32999999999999996,0.37
166.0,0.04,0.075,0.215,0.5900000000000001,0.08
167.0,0.08499999999999999,0.33499999999999996,0.46499999999999997,0.1,0.015
168.0,0.03,0.475,0.28,0.20500000000000002,0.01
169.0,0.01,0.14,0.72,0.09,0.04
170.0,0.015,0.165,0.22,0.43999999999999995,0.16
171.0,0.03,0.11,0.09,0.19,0.58
172.0,0.095,0.13,0.64,0.08,0.055
173.0,0.025,0.07,0.125,0.78,0.0
174.0,0.02,0.135,0.245,0.58,0.02
175.0,0.01,0.6699999999999999,0.15,0.14,0.030000000000000002
176.0,0.025,0.305,0.175,0.47,0.025
177.0,0.045,0.41500000000000004,0.15000000000000002,0.33999999999999997,0.05
178.0,0.14500000000000002,0.245,0.365,0.16,0.085
179.0,0.09,0.7150000000000001,0.11499999999999999,0.05,0.030000000000000002
180.0,0.035,0.365,0.485,0.065,0.05
181.0,0.095,0.5800000000000001,0.27,0.04,0.015
182.0,0.175,0.045,0.13,0.025,0.625
183.0,0.115,0.09,0.245,0.035,0.515
184.0,0.7949999999999999,0.1,0.07,0.015,0.02
185.0,0.15,0.76,0.06,0.005,0.025
186.0,0.135,0.155,0.36,0.03,0.32
187.0,0.16,0.07500000000000001,0.54,0.025,0.2
188.0,0.08,0.635,0.22499999999999998,0.01,0.05
189.0,0.025,0.04,0.15000000000000002,0.6,0.185
190.0,0.735,0.21500000000000002,0.02,0.02,0.01
191.0,0.81,0.08,0.025,0.06,0.025
192.0,0.07,0.2,0.175,0.37,0.185
193.0,0.01,0.275,0.5,0.05,0.165
194.0,0.085,0.095,0.08,0.575,0.165
195.0,0.14,0.765,0.055,0.025,0.015
196.0,0.065,0.865,0.025,0.02,0.025
197.0,0.305,0.38,0.235,0.04,0.04
198.0,0.375,0.395,0.18,0.025,0.025
199.0,0.655,0.235,0.095,0.005,0.01
200.0,0.05,0.3,0.605,0.045,0.0
201.0,0.015,0.365,0.52,0.08499999999999999,0.015
202.0,0.255,0.64,0.07500000000000001,0.03,0.0
203.0,0.885,0.015,0.02,0.01,0.07
204.0,0.0,0.675,0.315,0.0,0.01
205.0,0.035,0.45999999999999996,0.49,0.01,0.005
206.0,0.49,0.22,0.265,0.015,0.01
207.0,0.61,0.215,0.125,0.030000000000000002,0.02
208.0,0.075,0.48,0.28500000000000003,0.12,0.04
209.0,0.65,0.195,0.12,0.01,0.025
210.0,0.03,0.14500000000000002,0.07,0.745,0.01
211.0,0.03,0.22999999999999998,0.615,0.115,0.01
212.0,0.015,0.16,0.605,0.18,0.04
213.0,0.06,0.515,0.275,0.11,0.04
214.0,0.425,0.515,0.04,0.01,0.01
215.0,0.515,0.30000000000000004,0.18,0.0,0.005
216.0,0.235,0.665,0.1,0.0,0.0
217.0,0.405,0.385,0.12000000000000001,0.08,0.01
218.0,0.28,0.6,0.08,0.015,0.025
219.0,0.04,0.030000000000000002,0.31,0.5900000000000001,0.03
220.0,0.035,0.42000000000000004,0.54,0.005,0.0
221.0,0.07500000000000001,0.515,0.375,0.035,0.0
222.0,0.255,0.31000000000000005,0.095,0.30000000000000004,0.04
223.0,0.185,0.38,0.22,0.06,0.15500000000000003
224.0,0.175,0.39,0.33,0.07500000000000001,0.03
225.0,0.08,0.135,0.14500000000000002,0.25,0.39
226.0,0.065,0.14,0.215,0.455,0.125
227.0,0.095,0.075,0.77,0.035,0.025
228.0,0.025,0.04,0.17,0.16999999999999998,0.595
229.0,0.11499999999999999,0.21000000000000002,0.365,0.2,0.11
230.0,0.735,0.185,0.03,0.035,0.015
231.0,0.7849999999999999,0.12,0.035,0.030000000000000002,0.03
232.0,0.68,0.185,0.03,0.085,0.02
233.0,0.115,0.185,0.47,0.175,0.05500000000000001
234.0,0.005,0.13,0.5,0.345,0.02
235.0,0.005,0.31000000000000005,0.655,0.025,0.005
236.0,0.005,0.43,0.475,0.08,0.01
237.0,0.0,0.27,0.49,0.21,0.03
238.0,0.085,0.365,0.41000000000000003,0.08,0.06
239.0,0.03,0.175,0.375,0.095,0.325
240.0,0.030000000000000002,0.295,0.14,0.49,0.045
241.0,0.01,0.095,0.48,0.28500000000000003,0.13
242.0,0.07,0.36,0.45999999999999996,0.06,0.05
243.0,0.01,0.7350000000000001,0.175,0.05,0.03
244.0,0.025,0.685,0.26,0.02,0.01
245.0,0.02,0.16,0.02,0.015,0.785
246.0,0.4,0.30000000000000004,0.16999999999999998,0.065,0.065
247.0,0.815,0.10500000000000001,0.025,0.045,0.01
248.0,0.44499999999999995,0.32,0.14500000000000002,0.05,0.04
249.0,0.060000000000000005,0.11,0.535,0.1,0.195
250.0,0.03,0.07,0.22,0.405,0.275
251.0,0.02,0.36,0.1,0.32999999999999996,0.19
252.0,0.025,0.07500000000000001,0.10500000000000001,0.305,0.49
253.0,0.04,0.18,0.5,0.115,0.16499999999999998
254.0,0.03,0.44000000000000006,0.295,0.14500000000000002,0.09
255.0,0.065,0.525,0.12,0.125,0.16499999999999998
256.0,0.0,0.03,0.04,0.32999999999999996,0.6
257.0,0.175,0.26,0.33999999999999997,0.11,0.115
258.0,0.02,0.045,0.32999999999999996,0.315,0.29000000000000004
259.0,0.030000000000000002,0.025,0.075,0.505,0.365
260.0,0.04,0.74,0.11,0.085,0.025
261.0,0.16999999999999998,0.575,0.115,0.095,0.045
262.0,0.095,0.705,0.11,0.06,0.03
263.0,0.09,0.6599999999999999,0.15500000000000003,0.055,0.04
264.0,0.03,0.5,0.18,0.25,0.04
265.0,0.005,0.31,0.305,0.365,0.015
266.0,0.6799999999999999,0.27,0.01,0.03,0.01
267.0,0.61,0.345,0.015,0.015,0.015
268.0,0.06,0.02,0.02,0.2,0.7
269.0,0.02,0.005,0.030000000000000002,0.7050000000000001,0.24
270.0,0.0,0.005,0.02,0.85,0.125
271.0,0.02,0.02,0.46499999999999997,0.41000000000000003,0.085
272.0,0.02,0.05,0.87,0.02,0.04
273.0,0.88,0.07,0.025,0.01,0.015
274.0,0.9199999999999999,0.05,0.02,0.005,0.005
275.0,0.845,0.125,0.02,0.005,0.005
276.0,0.07,0.6799999999999999,0.14,0.045,0.065
277.0,0.29500000000000004,0.645,0.025,0.025,0.01
278.0,0.965,0.015,0.0,0.01,0.01
279.0,0.875,0.045,0.045,0.030000000000000002,0.005
280.0,0.89,0.07500000000000001,0.025,0.005,0.005
281.0,0.73,0.16,0.035,0.01,0.065
282.0,0.525,0.245,0.175,0.025,0.030000000000000002
283.0,0.665,0.18,0.06,0.07,0.025
284.0,0.585,0.16,0.08,0.15500000000000003,0.02
285.0,0.495,0.17,0.045,0.24,0.05
286.0,0.46499999999999997,0.095,0.025,0.21000000000000002,0.20500000000000002
287.0,0.85,0.09,0.025,0.005,0.03
288.0,0.49,0.31,0.15,0.02,0.03
289.0,0.355,0.235,0.35,0.015,0.045
290.0,0.595,0.225,0.09,0.08,0.01
291.0,0.7,0.195,0.08,0.01,0.015
292.0,0.96,0.015,0.015,0.01,0.0
293.0,0.99,0.005,0.0,0.005,0.0
294.0,0.95,0.03,0.01,0.005,0.005
295.0,0.86,0.07,0.060000000000000005,0.01,0.0
296.0,0.635,0.305,0.055,0.005,0.0
297.0,0.73,0.22999999999999998,0.025,0.0,0.015
298.0,0.8799999999999999,0.08499999999999999,0.02,0.005,0.01
299.0,0.81,0.13,0.05,0.0,0.01
300.0,0.8,0.11,0.04,0.01,0.04
301.0,0.03,0.03,0.155,0.7849999999999999,0.0
302.0,0.025,0.08,0.87,0.025,0.0
303.0,0.01,0.07500000000000001,0.91,0.005,0.0
304.0,0.0,0.025,0.965,0.0,0.01
305.0,0.005,0.02,0.975,0.0,0.0
306.0,0.015,0.16999999999999998,0.815,0.0,0.0
307.0,0.0,0.05,0.95,0.0,0.0
308.0,0.0,0.14500000000000002,0.765,0.030000000000000002,0.06
309.0,0.005,0.055,0.94,0.0,0.0
310.0,0.005,0.075,0.915,0.005,0.0
311.0,0.76,0.16999999999999998,0.035,0.015,0.02
312.0,0.015,0.73,0.255,0.0,0.0
313.0,0.02,0.4,0.5449999999999999,0.02,0.015
314.0,0.495,0.41000000000000003,0.08,0.005,0.01
315.0,0.0,0.845,0.14500000000000002,0.005,0.005
316.0,0.005,0.41000000000000003,0.185,0.10500000000000001,0.29500000000000004
317.0,0.8,0.125,0.065,0.01,0.0
318.0,0.495,0.38,0.09,0.015,0.02
319.0,0.78,0.15500000000000003,0.045000000000000005,0.02,0.0
320.0,0.43,0.375,0.045,0.145,0.005
321.0,0.38,0.44000000000000006,0.15500000000000003,0.025,0.0
322.0,0.505,0.155,0.065,0.275,0.0
323.0,0.31,0.46499999999999997,0.22000000000000003,0.005,0.0
324.0,0.48,0.46499999999999997,0.035,0.02,0.0
325.0,0.435,0.485,0.07500000000000001,0.0,0.005
326.0,0.265,0.63,0.075,0.02,0.01
327.0,0.07500000000000001,0.78,0.135,0.0,0.01
328.0,0.045000000000000005,0.175,0.6699999999999999,0.10500000000000001,0.005
329.0,0.45999999999999996,0.125,0.4,0.005,0.01
330.0,0.12,0.08499999999999999,0.615,0.01,0.16999999999999998
331.0,0.765,0.16499999999999998,0.04,0.015,0.015
332.0,0.565,0.19,0.075,0.07,0.1
333.0,0.835,0.08,0.025,0.025,0.034999999999999996
334.0,0.6799999999999999,0.235,0.075,0.0,0.01
335.0,0.935,0.025,0.0,0.035,0.005
336.0,0.885,0.10500000000000001,0.0,0.01,0.0
337.0,0.78,0.16,0.035,0.02,0.005
338.0,0.885,0.055,0.035,0.02,0.005
339.0,0.55,0.385,0.055,0.0,0.01
340.0,0.515,0.37,0.09,0.02,0.005
341.0,0.9199999999999999,0.015,0.03,0.0,0.035
342.0,0.98,0.01,0.01,0.0,0.0
343.0,0.96,0.025,0.015,0.0,0.0
344.0,0.29000000000000004,0.45,0.26,0.0,0.0
345.0,0.86,0.05500000000000001,0.045,0.03,0.01
346.0,0.9450000000000001,0.02,0.005,0.025,0.005
347.0,0.35,0.17,0.25,0.135,0.095
348.0,0.515,0.475,0.005,0.0,0.005
349.0,0.955,0.035,0.01,0.0,0.0
350.0,0.635,0.15000000000000002,0.2,0.005,0.01
351.0,0.435,0.26,0.25,0.0,0.055
352.0,0.97,0.02,0.005,0.005,0.0
353.0,0.925,0.01,0.01,0.02,0.035
354.0,0.79,0.145,0.02,0.030000000000000002,0.015
355.0,0.89,0.05,0.015,0.035,0.01
356.0,0.005,0.345,0.09,0.35,0.21
357.0,0.005,0.20500000000000002,0.06,0.7250000000000001,0.005
358.0,0.025,0.025,0.25,0.685,0.015
359.0,0.01,0.07,0.25,0.655,0.015
360.0,0.030000000000000002,0.095,0.315,0.525,0.035
361.0,0.060000000000000005,0.06,0.8200000000000001,0.03,0.03
362.0,0.02,0.43000000000000005,0.065,0.025,0.46
363.0,0.54,0.08499999999999999,0.095,0.26,0.02
364.0,0.16,0.1,0.04,0.56,0.14
365.0,0.165,0.155,0.12,0.535,0.025
366.0,0.915,0.04,0.015,0.02,0.01
367.0,0.15500000000000003,0.035,0.505,0.28,0.025
368.0,0.81,0.16,0.005,0.015,0.01
369.0,0.12,0.025,0.7250000000000001,0.065,0.065
370.0,0.815,0.09,0.060000000000000005,0.035,0.0
371.0,0.9299999999999999,0.030000000000000002,0.02,0.01,0.01
372.0,0.915,0.045,0.025,0.005,0.01
373.0,0.29500000000000004,0.365,0.28,0.015,0.045
374.0,0.09,0.035,0.030000000000000002,0.12,0.725
375.0,0.11,0.035,0.034999999999999996,0.07,0.75
376.0,0.165,0.245,0.08,0.485,0.025
377.0,0.045000000000000005,0.035,0.065,0.79,0.065
378.0,0.045,0.055,0.36,0.535,0.005
379.0,0.055,0.1,0.42000000000000004,0.41500000000000004,0.01
380.0,0.87,0.045,0.025,0.045000000000000005,0.015
381.0,0.10500000000000001,0.11499999999999999,0.39,0.06,0.32999999999999996
382.0,0.15,0.16,0.445,0.05,0.195
383.0,0.03,0.035,0.02,0.905,0.01
384.0,0.035,0.08,0.2,0.645,0.04
385.0,0.75,0.155,0.045,0.045,0.005
386.0,0.22,0.48,0.095,0.20500000000000002,0.0
387.0,0.05,0.04,0.14,0.16,0.6100000000000001
388.0,0.895,0.03,0.025,0.025,0.025
389.0,0.08499999999999999,0.115,0.09,0.22,0.49
390.0,0.17,0.675,0.1,0.04,0.015
391.0,0.045000000000000005,0.385,0.33999999999999997,0.21500000000000002,0.015
392.0,0.04,0.6,0.33499999999999996,0.02,0.005
393.0,0.21,0.64,0.10500000000000001,0.030000000000000002,0.015
394.0,0.28500000000000003,0.14,0.475,0.075,0.025
395.0,0.06,0.195,0.71,0.02,0.015
396.0,0.11,0.6799999999999999,0.07,0.065,0.07500000000000001
397.0,0.62,0.32,0.045,0.01,0.005
398.0,0.525,0.18,0.055,0.22999999999999998,0.01
399.0,0.315,0.39,0.22,0.045,0.03
400.0,0.48,0.38,0.045,0.08,0.015
401.0,0.9650000000000001,0.0,0.005,0.01,0.02
402.0,0.9550000000000001,0.02,0.02,0.005,0.0
403.0,0.795,0.14,0.03,0.015,0.02
404.0,0.38,0.53,0.08,0.005,0.005
405.0,0.095,0.87,0.03,0.0,0.005
406.0,0.22000000000000003,0.63,0.13,0.01,0.01
407.0,0.14500000000000002,0.49,0.32,0.02,0.025
408.0,0.025,0.935,0.025,0.005,0.01
409.0,0.025,0.16,0.39,0.4,0.025
410.0,0.045000000000000005,0.33999999999999997,0.5,0.10500000000000001,0.01
411.0,0.07,0.43,0.45499999999999996,0.04,0.005
412.0,0.735,0.16499999999999998,0.07500000000000001,0.015,0.01
413.0,0.04,0.7849999999999999,0.115,0.045,0.015
414.0,0.005,0.185,0.495,0.295,0.02
415.0,0.07500000000000001,0.63,0.20500000000000002,0.06,0.03
416.0,0.645,0.20500000000000002,0.065,0.035,0.05
417.0,0.10500000000000001,0.08,0.025,0.060000000000000005,0.73
418.0,0.16,0.24,0.16999999999999998,0.045,0.385
419.0,0.015,0.895,0.065,0.02,0.005
420.0,0.060000000000000005,0.28,0.62,0.035,0.005
421.0,0.07,0.39,0.515,0.015,0.01
422.0,0.1,0.5,0.16,0.034999999999999996,0.20500000000000002
423.0,0.1,0.505,0.27,0.05,0.07500000000000001
424.0,0.005,0.025,0.0,0.295,0.675
425.0,0.065,0.37,0.02,0.015,0.53
426.0,0.35,0.235,0.33,0.03,0.05500000000000001
427.0,0.04,0.41,0.395,0.095,0.060000000000000005
428.0,0.005,0.12000000000000001,0.15500000000000003,0.715,0.005
429.0,0.04,0.1,0.635,0.16999999999999998,0.055
430.0,0.21000000000000002,0.41000000000000003,0.28500000000000003,0.065,0.03
431.0,0.14,0.42000000000000004,0.36,0.02,0.060000000000000005
432.0,0.035,0.405,0.495,0.04,0.025
433.0,0.33499999999999996,0.49,0.08,0.04,0.05500000000000001
434.0,0.005,0.08,0.07,0.06,0.785
435.0,0.015,0.05,0.065,0.19,0.68
436.0,0.04,0.38,0.09,0.37,0.12000000000000001
437.0,0.055,0.595,0.065,0.09,0.195
438.0,0.005,0.14,0.385,0.28500000000000003,0.185
439.0,0.015,0.185,0.64,0.15,0.01
440.0,0.01,0.26,0.545,0.185,0.0
441.0,0.32,0.32,0.23,0.095,0.035
442.0,0.035,0.8,0.045,0.08,0.04
443.0,0.065,0.885,0.03,0.01,0.01
444.0,0.735,0.2,0.065,0.0,0.0
445.0,0.845,0.105,0.049999999999999996,0.0,0.0
446.0,0.14500000000000002,0.405,0.385,0.05,0.015
447.0,1.0,0.0,0.0,0.0,0.0
448.0,0.495,0.47500000000000003,0.02,0.005,0.005
449.0,0.005,0.965,0.03,0.0,0.0
450.0,0.015,0.33999999999999997,0.505,0.14,0.0
451.0,0.035,0.785,0.165,0.015,0.0
452.0,0.015,0.105,0.855,0.02,0.005
453.0,0.04,0.665,0.27,0.025,0.0
454.0,0.11000000000000001,0.395,0.43000000000000005,0.06,0.005
455.0,0.025,0.73,0.11,0.135,0.0
456.0,0.03,0.23,0.665,0.065,0.01
457.0,0.08,0.165,0.6699999999999999,0.075,0.01
458.0,0.065,0.655,0.27,0.01,0.0
459.0,0.05,0.20500000000000002,0.195,0.55,0.0
460.0,0.09,0.33,0.31,0.27,0.0
461.0,0.165,0.125,0.255,0.35,0.105
462.0,0.53,0.235,0.20500000000000002,0.015,0.015
463.0,0.03,0.065,0.375,0.13,0.4
464.0,0.835,0.105,0.030000000000000002,0.02,0.01
465.0,0.49,0.25,0.065,0.14500000000000002,0.05
466.0,0.665,0.14,0.07,0.07500000000000001,0.05
467.0,0.12000000000000001,0.6799999999999999,0.115,0.025,0.060000000000000005
468.0,0.475,0.22000000000000003,0.14,0.055,0.11000000000000001
469.0,0.07500000000000001,0.10500000000000001,0.07500000000000001,0.22499999999999998,0.52
470.0,0.060000000000000005,0.060000000000000005,0.025,0.75,0.10500000000000001
471.0,0.365,0.049999999999999996,0.045000000000000005,0.11,0.43000000000000005
472.0,0.185,0.095,0.085,0.51,0.125
473.0,0.04,0.02,0.065,0.825,0.05
474.0,0.025,0.43500000000000005,0.31,0.105,0.125
475.0,0.08,0.08499999999999999,0.615,0.09,0.13
476.0,0.81,0.14500000000000002,0.03,0.005,0.01
477.0,0.02,0.16999999999999998,0.030000000000000002,0.755,0.025
478.0,0.05,0.07,0.034999999999999996,0.31,0.535
479.0,0.14,0.49,0.16999999999999998,0.15000000000000002,0.05
480.0,0.10500000000000001,0.49,0.19,0.155,0.06
481.0,0.07500000000000001,0.07500000000000001,0.14,0.42,0.29
482.0,0.19,0.265,0.060000000000000005,0.225,0.26
483.0,0.675,0.2,0.10500000000000001,0.015,0.005
484.0,0.030000000000000002,0.135,0.265,0.52,0.05
485.0,0.005,0.095,0.475,0.395,0.03
486.0,0.04,0.065,0.355,0.5,0.04
487.0,0.11499999999999999,0.14500000000000002,0.32499999999999996,0.27,0.14500000000000002
488.0,0.03,0.02,0.15000000000000002,0.65,0.15000000000000002
489.0,0.045,0.005,0.09,0.68,0.18
490.0,0.08,0.025,0.115,0.69,0.09
491.0,0.03,0.78,0.15000000000000002,0.04,0.0
492.0,0.065,0.455,0.38,0.095,0.005
493.0,0.125,0.16499999999999998,0.6950000000000001,0.005,0.01
494.0,0.9299999999999999,0.035,0.02,0.01,0.005
495.0,0.815,0.135,0.03,0.01,0.01
496.0,0.015,0.1,0.515,0.255,0.115
497.0,0.19,0.295,0.24,0.255,0.02
498.0,0.07500000000000001,0.81,0.07,0.03,0.015
499.0,0.18,0.78,0.025,0.005,0.01
500.0,0.32,0.5900000000000001,0.04,0.035,0.015
